true\pred,A,B,C,D,E,F,G,H,J,K,L,M,T
A,16,5,3,0,1,1,12,6,1,3,0,10,10
B,3,66,18,5,11,1,16,39,6,4,0,31,29
C,0,4,147,32,20,9,47,100,29,21,7,95,36
D,1,6,28,126,18,2,23,96,15,16,4,50,11
E,0,10,47,34,38,2,17,67,9,10,5,52,22
F,0,5,21,5,2,27,10,52,18,10,5,22,7
G,1,16,44,24,9,1,225,65,4,16,2,37,18
H,3,14,79,37,12,6,41,505,14,28,4,97,27
J,0,1,37,9,2,6,8,50,161,4,5,44,13
K,1,10,26,21,5,8,16,103,12,92,6,51,14
L,0,0,13,4,8,8,5,46,11,13,33,34,6
M,0,11,75,38,14,7,30,119,14,29,9,327,50
T,3,14,40,12,15,2,23,53,5,8,2,61,205
