,precision,recall,f1-score,support
A,0.5714285714285714,0.23529411764705882,0.3333333333333333,68.0
B,0.4074074074074074,0.28820960698689957,0.3375959079283887,229.0
C,0.25432525951557095,0.2687385740402194,0.2613333333333333,547.0
D,0.3631123919308357,0.3181818181818182,0.3391655450874832,396.0
E,0.24516129032258063,0.12140575079872204,0.1623931623931624,313.0
F,0.3375,0.14673913043478262,0.20454545454545456,184.0
G,0.47568710359408034,0.487012987012987,0.48128342245989303,462.0
H,0.388162951575711,0.5824682814302191,0.46586715867158673,867.0
J,0.5384615384615384,0.47352941176470587,0.5039123630672926,340.0
K,0.36220472440944884,0.25205479452054796,0.2972536348949919,365.0
L,0.4024390243902439,0.18232044198895028,0.2509505703422053,181.0
M,0.3589462129527991,0.45228215767634855,0.40024479804161567,723.0
T,0.4575892857142857,0.46275395033860045,0.4601571268237935,443.0
accuracy,0.38452520515826494,0.38452520515826494,0.38452520515826494,0.38452520515826494
macro avg,0.39710967397715946,0.32853777098629694,0.3460027546863488,5118.0
weighted avg,0.38307060267642634,0.38452520515826494,0.3732779678700514,5118.0
